municipio;curso;grau;turno;modalidade;nivel;habilitacao;convenio;forma_ingresso;ano;periodo;quantidade;
ALTO ALEGRE DO PINDARÉ;CIÊNCIAS EXATAS;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;;PROEB;REINGRESSO AUTOMATICO;2019;1;35;
ALTO ALEGRE DO PINDARÉ;CIÊNCIAS EXATAS;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;;PROEB;REINGRESSO DE GRADUADO;2019;1;1;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2019;1;25;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2019;1;2;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2019;1;9;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - DEFICIENTE;2019;1;1;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2019;1;10;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2019;1;3;
BALSAS;ENGENHARIA AMBIENTAL;BACHARELADO;Vespertino e Noturno;Presencial;G;;;REINGRESSO SEGUNDO CICLO;2019;1;5;
BALSAS;ENGENHARIA ELÉTRICA;BACHARELADO;Vespertino e Noturno;Presencial;G;;;REINGRESSO SEGUNDO CICLO;2019;1;1;
CENTRAL DO MARANHÃO;CIÊNCIAS EXATAS;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;;PROEB;REINGRESSO AUTOMATICO;2019;1;3;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2019;1;20;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2019;1;2;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - INDIO;2019;1;1;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2019;1;5;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2019;1;8;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2019;1;1;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2019;1;20;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2019;1;2;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2019;1;8;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - DEFICIENTE - RF;2019;1;1;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2019;1;7;
