municipio;curso;grau;turno;modalidade;nivel;habilitacao;convenio;forma_ingresso;ano;periodo;quantidade;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2021;2;21;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - BR (Lei 12711/2012);2021;2;3;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PUBLICA (Lei 12711/2012);2021;2;1;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO - BR (Lei 12711/2012);2021;2;3;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO (Lei 12711/2012);2021;2;13;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2021;2;16;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO - BR (Lei 12711/2012);2021;2;4;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO (Lei 12711/2012);2021;2;4;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2021;2;12;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO - BR (Lei 12711/2012);2021;2;2;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO (Lei 12711/2012);2021;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2021;2;19;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESC.PÚBLICA - BR (Lei 12711/2012);2021;2;1;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESC.PUBLICA (Lei 12711/2012);2021;2;1;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO - BR (Lei 12711/2012);2021;2;3;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO (Lei 12711/2012);2021;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2021;2;18;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - BR (Lei 12711/2012);2021;2;3;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESC.PUBLICA (Lei 12711/2012);2021;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO - BR (Lei 12711/2012);2021;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESC.PÚBLICA - PRETO ou PARDO (Lei 12711/2012);2021;2;3;
