municipio;curso;grau;turno;modalidade;nivel;habilitacao;convenio;forma_ingresso;ano;periodo;quantidade;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;LEdoC;PROCESSO SELETIVO - AMPLA CONCORRÊNCIA;2020;1;18;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;LEdoC;PROCESSO SELETIVO - ESCOLA PÚBLICA;2020;1;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;LEdoC;PROCESSO SELETIVO - ESCOLA PUBLICA - RF;2020;1;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;LEdoC;VESTIBULAR;2020;1;3;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;LEdoC;PROCESSO SELETIVO - AMPLA CONCORRÊNCIA;2020;1;13;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;LEdoC;PROCESSO SELETIVO - ESCOLA PÚBLICA;2020;1;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;LEdoC;PROCESSO SELETIVO - ESCOLA PUBLICA - RF;2020;1;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;LEdoC;VESTIBULAR;2020;1;11;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2020;1;23;
BACABAL;LETRAS - PORTUGUÊS;LICENCIATURA;Vespertino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2020;1;2;
